left,top,width,height,text,conf,label
66,2182,68,22,SIZE,100,no label
226,2185,85,22,18x28,100,SIZE
393,2182,86,26,18x28,100,SIZE
562,2185,85,22,18x24,100,SIZE
730,2184,86,23,18x24,100,SIZE
898,2184,85,23,18x24,100,SIZE
1066,2185,86,22,18x24,100,SIZE
1234,2184,84,22,18x28,100,SIZE
1403,2184,85,22,18x28,100,SIZE
1571,2184,86,23,18x28,100,SIZE
1739,2184,85,23,18x24,100,SIZE
1907,2184,86,23,18x24,100,SIZE
2075,2184,85,23,18x28,100,SIZE
2243,2184,86,23,18x28,100,SIZE
2411,2184,85,23,18x28,100,SIZE
2579,2184,86,23,18x24,100,SIZE
2747,2184,85,22,18x24,100,SIZE
2915,2184,86,23,18x28,100,SIZE
3084,2184,86,23,18x28,100,SIZE
3251,2184,87,23,18x28,100,SIZE
3420,2184,87,23,18x24,100,SIZE
3589,2184,87,23,18x24,100,SIZE
3757,2184,86,22,18x28,100,SIZE
3925,2184,85,23,18x28,100,SIZE
4093,2184,85,22,18x28,100,SIZE
4261,2185,87,21,18x24,100,SIZE
4429,2184,86,23,18x24,100,SIZE
4598,2184,84,23,18x28,100,SIZE
4765,2184,86,23,18x28,100,SIZE
4934,2184,83,23,18x28,100,SIZE
5101,2184,87,23,18x24,100,SIZE
5270,2184,86,23,18x24,100,SIZE
5439,2182,85,25,18x28,100,SIZE
5606,2184,86,22,18x28,100,SIZE
5775,2184,85,23,18x24,100,SIZE
5944,2184,85,23,18x24,100,SIZE
6111,2184,84,22,18x24,100,SIZE
6280,2184,85,23,18x24,100,SIZE
6449,2184,68,24,SIZE,100,no label
58,2225,96,23,REINF,100,no label
157,2225,8,23,.,100,no label
236,2226,18,22,6,100,VERTICAL
252,2226,18,22,#,100,VERTICAL
271,2226,17,22,9,100,VERTICAL
405,2225,18,23,6,100,VERTICAL
422,2225,19,23,#,100,VERTICAL
441,2225,18,23,9,100,VERTICAL
572,2225,17,22,6,100,VERTICAL
589,2225,17,22,#,100,VERTICAL
607,2225,17,22,8,100,VERTICAL
741,2225,18,22,6,100,VERTICAL
758,2225,18,22,#,100,VERTICAL
777,2225,18,22,8,100,VERTICAL
908,2225,17,23,6,100,VERTICAL
926,2225,19,23,#,100,VERTICAL
946,2225,17,23,8,100,VERTICAL
