Label,Text,X,Y
SIZE,18 x 28,268.5,2196.0
SIZE,18 x 28,436.0,2195.0
SIZE,18 x 24,604.5,2196.0
SIZE,18 x 24,773.0,2195.5
SIZE,18 x 24,940.5,2195.5
SIZE,18 x 24,1109.0,2196.0
SIZE,18 x 28,1276.0,2195.0
SIZE,18 x 28,1445.5,2195.0
SIZE,18 x 28,1614.0,2195.5
SIZE,18 x 24,1781.5,2195.5
SIZE,18 x 24,1950.0,2195.5
SIZE,18 x 28,2117.5,2195.5
SIZE,18 x 28,2286.0,2195.5
SIZE,18 x 28,2453.5,2195.5
SIZE,18 x 24,2622.0,2195.5
SIZE,18 x 24,2789.5,2195.0
SIZE,18 x 28,2958.0,2195.5
SIZE,18 x 28,3127.0,2195.5
SIZE,18 x 28,3294.5,2195.5
SIZE,18 x 24,3463.5,2195.5
SIZE,18 x 24,3632.5,2195.5
SIZE,18 x 28,3800.0,2195.0
SIZE,18 x 28,3967.5,2195.5
SIZE,18 x 28,4135.5,2195.0
SIZE,18 x 24,4304.5,2195.5
SIZE,18 x 24,4472.0,2195.5
SIZE,18 x 28,4640.0,2195.5
SIZE,18 x 28,4808.0,2195.5
SIZE,18 x 28,4975.5,2195.5
SIZE,18 x 24,5144.5,2195.5
SIZE,18 x 24,5313.0,2195.5
SIZE,18 x 28,5481.5,2194.5
SIZE,18 x 28,5649.0,2195.0
SIZE,18 x 24,5817.5,2195.5
SIZE,18 x 24,5986.5,2195.5
SIZE,18 x 24,6153.0,2195.0
SIZE,18 x 24,6322.5,2195.5
VERTICAL,6 - #9,262.0,2237.0
VERTICAL,6 - #9,432.0,2236.5
VERTICAL,6 - #8,598.0,2236.0
VERTICAL,6 - #8,768.0,2236.0
VERTICAL,6 - #8,935.5,2236.5
VERTICAL,6 - #8,1103.5,2236.5
VERTICAL,6 - #9,1271.5,2236.5
VERTICAL,6 - #9,1439.5,2238.0
VERTICAL,6 - #9,1608.5,2236.5
VERTICAL,6 - #8,1775.0,2236.0
VERTICAL,6 - #8,1943.5,2236.5
VERTICAL,6 - #9,2112.0,2236.5
VERTICAL,6 - #9,2280.5,2236.0
VERTICAL,6 - #9,2448.0,2236.5
VERTICAL,6 - #8,2617.0,2237.0
VERTICAL,6 - #8,2784.5,2236.5
VERTICAL,6 - #9,2953.5,2236.5
VERTICAL,6 - #9,3119.5,2236.5
VERTICAL,6 - #9,3290.5,2236.5
VERTICAL,6 - #8,3457.5,2236.0
VERTICAL,6 - #8,3625.5,2236.5
VERTICAL,6 - #9,3793.5,2236.5
VERTICAL,6 - #9,3961.5,2236.0
VERTICAL,6 - #9,4130.0,2236.0
VERTICAL,6 - #8,4299.5,2235.5
VERTICAL,6 - #8,4467.0,2237.0
VERTICAL,6 - #9,4635.0,2236.5
VERTICAL,6 - #9,4803.0,2236.5
VERTICAL,6 - #9,4971.5,2236.5
VERTICAL,6 - #8,5140.5,2237.0
VERTICAL,6 - #8,5307.5,2236.0
VERTICAL,6 - #9,5476.0,2236.0
VERTICAL,6 - #9,5644.0,2236.0
VERTICAL,6 - #8,5812.5,2236.0
VERTICAL,6 - #8,5980.5,2236.5
VERTICAL,6 - #8,6148.5,2236.0
VERTICAL,6 - #8,6317.0,2236.5
TIES,"#3 @ 0.16666666666666666""",267.0,2279.0
TIES,"#3 @ 0.16666666666666666""",435.5,2279.0
TIES,"#3 @ 0.1875""",603.0,2277.5
TIES,"#3 @ 0.1875""",772.0,2277.5
TIES,"#3 @ 0.1875""",939.5,2278.0
TIES,"#3 @ 0.1875""",1109.0,2279.0
TIES,"#3 @ 0.16666666666666666""",1276.0,2278.0
TIES,"#3 @ 0.16666666666666666""",1443.5,2279.0
TIES,"#3 @ 0.16666666666666666""",1612.5,2278.5
TIES,"#3 @ 0.1875""",1780.5,2278.5
TIES,"#3 @ 0.1875""",1947.5,2279.0
TIES,"#3 @ 0.16666666666666666""",2114.5,2279.0
TIES,"#3 @ 0.16666666666666666""",2285.0,2278.5
TIES,"#3 @ 0.16666666666666666""",2452.5,2279.0
TIES,"#3 @ 0.1875""",2622.0,2277.5
TIES,"#3 @ 0.1875""",2788.5,2279.0
TIES,"#3 @ 0.16666666666666666""",2957.0,2279.5
TIES,"#3 @ 0.16666666666666666""",3124.5,2279.5
TIES,"#3 @ 0.16666666666666666""",3294.0,2278.0
TIES,"#3 @ 0.1875""",3461.5,2279.0
TIES,"#3 @ 0.1875""",3629.0,2278.5
TIES,"#3 @ 0.16666666666666666""",3798.5,2278.0
TIES,"#3 @ 0.16666666666666666""",3966.0,2277.5
TIES,"#3 @ 0.16666666666666666""",4134.5,2279.0
TIES,"#3 @ 0.1875""",4303.0,2279.0
TIES,"#3 @ 0.1875""",4471.0,2279.0
TIES,"#3 @ 0.16666666666666666""",4640.5,2278.0
TIES,"#3 @ 0.16666666666666666""",4807.5,2278.0
TIES,"#3 @ 0.16666666666666666""",4975.5,2278.5
TIES,"#3 @ 0.1875""",5144.0,2278.0
TIES,"#3 @ 0.1875""",5312.5,2278.5
TIES,"#3 @ 0.16666666666666666""",5480.5,2279.5
TIES,"#3 @ 0.16666666666666666""",5648.5,2279.0
TIES,"#3 @ 0.1875""",5817.0,2279.0
TIES,"#3 @ 0.1875""",5984.5,2279.5
TIES,"#3 @ 0.1875""",6152.0,2278.5
TIES,"#3 @ 0.1875""",6321.0,2278.0
TYPE,A,266.0,2325.0
TYPE,A,434.0,2325.0
TYPE,A,601.5,2325.0
TYPE,A,771.5,2325.0
TYPE,A,938.5,2325.0
TYPE,A,1107.0,2325.0
TYPE,A,1275.0,2323.5
TYPE,A,1443.0,2324.0
TYPE,A,1612.0,2325.0
TYPE,A,1779.5,2325.0
TYPE,A,1947.0,2325.0
TYPE,A,2116.0,2325.0
TYPE,A,2284.0,2324.0
TYPE,A,2452.5,2325.0
TYPE,A,2620.0,2325.0
TYPE,A,2788.0,2325.0
TYPE,A,2956.5,2325.0
TYPE,A,3125.0,2325.0
TYPE,A,3293.0,2324.5
TYPE,A,3462.0,2324.0
TYPE,A,3629.0,2325.0
TYPE,A,3798.0,2325.0
TYPE,A,3965.0,2325.0
TYPE,A,4132.0,2325.0
TYPE,A,4302.0,2325.0
TYPE,A,4469.0,2325.0
TYPE,A,4638.0,2325.0
TYPE,A,4806.5,2325.0
TYPE,A,4973.5,2325.0
TYPE,A,5143.0,2324.0
TYPE,A,5311.0,2325.5
TYPE,A,5479.0,2325.0
TYPE,A,5647.0,2325.0
TYPE,A,5815.5,2325.0
TYPE,A,5984.0,2325.0
TYPE,A,6151.5,2325.0
TYPE,A,6320.5,2325.0
SIZE,18 x 28,268.5,2361.0
SIZE,18 x 28,436.0,2361.0
SIZE,18 x 24,604.5,2363.0
SIZE,18 x 24,772.5,2363.0
SIZE,18 x 24,941.5,2362.0
SIZE,18 x 24,1109.0,2363.0
SIZE,18 x 28,1278.0,2361.0
SIZE,18 x 28,1445.5,2361.5
SIZE,18 x 28,1614.0,2361.0
SIZE,18 x 24,1781.5,2363.0
SIZE,18 x 24,1950.0,2363.0
SIZE,18 x 28,2117.0,2359.5
SIZE,18 x 28,2286.0,2360.0
SIZE,18 x 28,2453.5,2361.0
SIZE,18 x 24,2621.5,2363.0
SIZE,18 x 24,2790.5,2363.0
SIZE,18 x 28,2958.5,2361.0
SIZE,18 x 28,3126.0,2360.0
SIZE,18 x 28,3294.0,2360.0
SIZE,18 x 24,3463.0,2363.0
SIZE,18 x 24,3631.0,2362.5
SIZE,18 x 28,3798.0,2360.0
SIZE,18 x 28,3967.5,2360.5
SIZE,18 x 28,4136.0,2361.0
SIZE,18 x 24,4303.5,2363.0
SIZE,18 x 24,4472.0,2363.0
SIZE,18 x 28,4639.0,2359.5
SIZE,18 x 28,4806.5,2361.0
SIZE,18 x 28,4977.0,2361.0
SIZE,18 x 24,5144.5,2362.0
SIZE,18 x 24,5313.5,2363.0
SIZE,18 x 28,5480.5,2361.0
SIZE,18 x 28,5649.0,2361.0
SIZE,18 x 24,5817.5,2363.0
SIZE,18 x 24,5986.5,2363.0
SIZE,18 x 24,6154.0,2363.0
SIZE,18 x 24,6322.0,2364.0
VERTICAL,6 - #9,262.0,2402.0
VERTICAL,6 - #9,432.0,2403.0
VERTICAL,6 - #8,599.0,2405.5
VERTICAL,6 - #8,768.0,2405.5
VERTICAL,6 - #8,936.0,2405.5
