Label,Text,Avg_X,Avg_Y
VALUE,0,2610.0,6519.0
ELEVATION,EMR,2496.0,150.5
ELEVATION,LEVEL,2589.0,150.5
ELEVATION,2,2658.0,150.5
VALUE,785,2591.0,192.0
VALUE,',2621.5,191.5
VALUE,-,2629.5,191.5
VALUE,6,2643.5,191.5
VALUE,"""",2658.0,191.5
ELEVATION,EMR,2495.5,266.5
ELEVATION,LEVEL,2589.0,266.5
ELEVATION,1,2655.0,266.5
VALUE,771,2590.5,310.0
VALUE,',2623.0,310.0
VALUE,-,2630.5,310.0
VALUE,0,2644.0,310.0
VALUE,"""",2660.5,310.0
ELEVATION,ROOF,2510.5,388.5
ELEVATION,LEVEL,2615.5,388.5
VALUE,756,2591.5,430.0
VALUE,',2622.0,429.0
VALUE,-,2629.5,429.0
VALUE,0,2644.0,429.0
VALUE,"""",2659.0,429.0
ELEVATION,LEVEL,2571.0,499.5
ELEVATION,67,2645.5,499.5
VALUE,742,2592.0,542.0
VALUE,',2621.5,541.5
VALUE,-,2629.5,541.5
VALUE,0,2644.0,541.5
VALUE,"""",2659.5,541.5
ELEVATION,LEVEL,2572.0,613.5
ELEVATION,66,2647.0,614.0
VALUE,728,2591.0,655.0
VALUE,',2620.0,655.0
VALUE,-,2627.5,655.0
VALUE,0,2643.0,655.0
VALUE,"""",2657.0,654.0
ELEVATION,LEVEL,2571.0,726.0
ELEVATION,65,2646.5,726.0
VALUE,714,2591.5,768.0
VALUE,',2623.0,768.0
VALUE,-,2630.5,768.0
VALUE,0,2643.5,768.0
VALUE,"""",2659.5,768.0
ELEVATION,LEVEL,2571.5,840.0
ELEVATION,64,2647.5,840.0
VALUE,700,2593.0,881.0
VALUE,',2623.0,881.0
VALUE,-,2630.5,881.0
VALUE,0,2645.0,881.0
VALUE,"""",2660.0,881.0
ELEVATION,LEVEL,2571.5,952.5
ELEVATION,63,2647.5,952.5
VALUE,686,2593.0,994.0
VALUE,',2623.0,994.0
VALUE,-,2630.5,994.0
VALUE,0,2645.5,994.0
VALUE,"""",2660.5,994.0
ELEVATION,LEVEL,2572.0,1064.5
ELEVATION,62,2647.5,1064.5
VALUE,672,2591.0,1106.0
VALUE,',2621.0,1105.0
VALUE,-,2629.5,1105.0
VALUE,0,2643.0,1105.0
VALUE,"""",2659.0,1105.0
ELEVATION,LEVEL,2571.5,1178.0
ELEVATION,61,2646.5,1178.0
VALUE,658,2591.0,1220.0
VALUE,',2621.5,1219.0
VALUE,-,2629.5,1219.0
VALUE,0,2643.0,1219.0
VALUE,"""",2660.5,1219.0
ELEVATION,LEVEL,2572.0,1289.5
ELEVATION,60,2647.0,1289.5
VALUE,644,2592.5,1331.5
VALUE,',2622.0,1331.5
VALUE,-,2630.0,1331.5
VALUE,0,2643.0,1330.5
VALUE,"""",2658.5,1330.5
ELEVATION,LEVEL,2571.0,1377.0
ELEVATION,59,2647.5,1377.0
VALUE,633,2592.0,1418.5
VALUE,',2622.0,1418.5
VALUE,-,2632.0,1418.5
VALUE,2,2644.0,1418.5
VALUE,"""",2660.5,1418.5
ELEVATION,LEVEL,2571.0,1464.5
ELEVATION,58,2644.5,1463.5
VALUE,622,2592.0,1506.0
VALUE,',2623.5,1506.0
VALUE,-,2631.0,1506.0
VALUE,4,2643.5,1506.0
VALUE,"""",2659.5,1506.0
ELEVATION,LEVEL,2571.5,1553.0
ELEVATION,57,2647.0,1553.0
VALUE,611,2590.0,1593.0
VALUE,',2623.0,1593.0
VALUE,-,2631.5,1593.0
VALUE,6,2644.5,1593.0
VALUE,"""",2659.0,1593.0
ELEVATION,LEVEL,2572.0,1640.0
ELEVATION,56,2647.5,1640.0
VALUE,600,2591.0,1680.0
VALUE,',2621.5,1679.5
VALUE,-,2629.5,1679.5
VALUE,8,2644.0,1679.5
VALUE,"""",2660.5,1679.5
ELEVATION,LEVEL,2571.0,1725.5
ELEVATION,55,2645.5,1724.5
VALUE,589,2573.5,1768.5
VALUE,',2603.5,1767.0
VALUE,-,2611.0,1767.0
VALUE,10,2635.5,1766.5
VALUE,"""",2660.0,1766.0
ELEVATION,LEVEL,2571.5,1813.5
ELEVATION,54,2648.0,1813.5
VALUE,579,2591.0,1855.0
VALUE,',2623.0,1855.0
VALUE,-,2630.5,1855.0
VALUE,0,2644.5,1855.0
VALUE,"""",2661.5,1855.0
ELEVATION,LEVEL,2571.5,1901.5
ELEVATION,53,2648.0,1901.5
VALUE,568,2591.0,1943.0
VALUE,',2621.0,1942.0
VALUE,-,2630.0,1942.0
VALUE,2,2643.5,1942.0
VALUE,"""",2659.5,1942.0
ELEVATION,LEVEL,2571.0,1987.0
ELEVATION,52,2647.0,1986.5
VALUE,557,2591.0,2029.5
VALUE,',2623.5,2029.5
VALUE,-,2630.5,2029.5
VALUE,4,2642.0,2029.5
VALUE,"""",2659.5,2029.5
ELEVATION,LEVEL,2572.5,2074.0
ELEVATION,51,2645.5,2074.5
VALUE,546,2591.5,2116.5
VALUE,',2621.5,2116.0
VALUE,-,2629.5,2116.0
VALUE,6,2643.0,2116.0
VALUE,"""",2659.0,2116.0
ELEVATION,LEVEL,2571.5,2162.5
ELEVATION,50,2647.5,2162.5
VALUE,535,2591.0,2203.5
VALUE,',2622.0,2203.0
VALUE,-,2630.5,2203.0
VALUE,8,2642.5,2203.0
VALUE,"""",2658.5,2203.0
ELEVATION,LEVEL,2571.5,2250.5
ELEVATION,49,2647.0,2250.5
VALUE,524,2574.0,2292.0
VALUE,"""",2604.5,2292.0
VALUE,-10,2630.0,2292.0
VALUE,"""",2659.5,2292.0
ELEVATION,LEVEL,2571.0,2345.0
ELEVATION,48,2646.0,2345.0
VALUE,513,2591.0,2386.0
VALUE,',2621.5,2386.0
VALUE,-,2629.5,2386.0
VALUE,0,2643.0,2386.0
VALUE,"""",2659.0,2385.0
ELEVATION,LEVEL,2571.5,2432.0
ELEVATION,47,2646.0,2432.0
VALUE,502,2593.0,2474.0
VALUE,',2621.0,2474.0
VALUE,-,2628.5,2473.0
VALUE,2,2643.5,2473.0
VALUE,"""",2658.5,2473.0
ELEVATION,LEVEL,2571.5,2520.5
ELEVATION,46,2646.0,2520.5
VALUE,491,2590.5,2561.5
VALUE,',2623.0,2561.0
VALUE,-,2631.0,2561.0
VALUE,4,2643.5,2561.0
VALUE,"""",2659.5,2562.0
ELEVATION,LEVEL,2571.5,2607.5
ELEVATION,45,2646.5,2607.5
VALUE,480,2590.0,2647.5
VALUE,',2620.0,2647.5
VALUE,-,2629.5,2647.5
VALUE,6,2644.5,2647.5
VALUE,"""",2658.5,2647.5
ELEVATION,LEVEL,2571.0,2693.0
ELEVATION,44,2647.5,2693.0
VALUE,469,2592.0,2735.5
VALUE,',2623.0,2735.5
VALUE,-,2630.5,2735.5
VALUE,8,2643.5,2735.5
VALUE,"""",2661.5,2735.5
ELEVATION,LEVEL,2572.0,2781.5
ELEVATION,43,2647.0,2781.5
VALUE,458,2572.5,2823.5
VALUE,',2604.5,2823.0
VALUE,-,2612.0,2823.0
VALUE,10,2636.5,2823.0
VALUE,"""",2659.0,2823.0
ELEVATION,LEVEL,2570.5,2868.0
ELEVATION,42,2645.5,2867.0
VALUE,448,2590.5,2910.0
VALUE,',2621.5,2910.0
VALUE,-,2630.0,2910.0
VALUE,0,2643.0,2910.0
VALUE,"""",2658.5,2909.0
ELEVATION,LEVEL,2571.0,2956.5
ELEVATION,41,2644.5,2956.5
VALUE,437,2591.0,2998.0
VALUE,',2623.5,2998.0
VALUE,-,2631.5,2998.0
VALUE,2,2644.5,2998.0
VALUE,"""",2660.5,2998.0
ELEVATION,LEVEL,2571.0,3042.5
ELEVATION,40,2646.0,3041.5
VALUE,426,2590.5,3084.0
VALUE,',2621.5,3084.0
VALUE,-,2629.5,3084.0
VALUE,4,2643.5,3084.0
VALUE,"""",2660.5,3084.0
ELEVATION,LEVEL,2571.5,3129.5
ELEVATION,39,2647.5,3129.5
VALUE,415,2591.0,3172.0
VALUE,',2623.0,3172.0
VALUE,-,2630.5,3172.0
VALUE,6,2645.5,3172.0
VALUE,"""",2659.5,3172.0
ELEVATION,LEVEL,2571.5,3218.0
ELEVATION,38,2647.5,3218.0
VALUE,404,2591.0,3259.0
VALUE,',2621.0,3258.0
VALUE,-,2628.5,3258.0
VALUE,8,2643.0,3258.0
VALUE,"""",2659.0,3258.0
ELEVATION,LEVEL,2571.0,3304.5
ELEVATION,37,2645.5,3304.0
VALUE,393,2573.5,3346.0
VALUE,',2603.5,3345.5
VALUE,-,2613.0,3345.5
VALUE,10,2637.0,3345.5
VALUE,"""",2658.5,3345.5
ELEVATION,LEVEL,2572.0,3410.5
ELEVATION,36,2648.0,3410.5
VALUE,380,2573.0,3450.5
VALUE,',2603.5,3450.5
VALUE,-,2612.0,3450.5
VALUE,10,2635.0,3450.0
VALUE,"""",2658.5,3449.5
ELEVATION,LEVEL,2571.5,3497.0
ELEVATION,35,2647.5,3497.0
VALUE,370,2591.5,3538.0
VALUE,',2621.0,3537.0
VALUE,-,2630.0,3537.0
VALUE,0,2643.5,3537.0
VALUE,"""",2659.0,3537.0
ELEVATION,LEVEL,2571.5,3582.5
ELEVATION,34,2646.5,3582.5
VALUE,359,2592.0,3625.5
VALUE,',2623.0,3625.5
VALUE,-,2630.5,3625.5
VALUE,2,2645.5,3625.5
VALUE,"""",2659.0,3625.5
ELEVATION,LEVEL,2572.0,3671.5
ELEVATION,33,2647.5,3671.5
VALUE,348,2590.5,3712.5
VALUE,',2621.5,3712.0
VALUE,-,2629.5,3712.0
VALUE,4,2643.5,3712.0
VALUE,"""",2658.5,3712.0
ELEVATION,LEVEL,2572.0,3757.5
ELEVATION,32,2648.5,3758.5
VALUE,337,2591.5,3800.0
VALUE,',2620.0,3800.0
VALUE,-,2628.5,3800.0
VALUE,6,2643.5,3799.0
VALUE,"""",2657.5,3799.0
ELEVATION,LEVEL,2570.0,3845.0
ELEVATION,31,2644.5,3843.5
VALUE,326,2591.5,3887.0
VALUE,',2621.5,3886.5
VALUE,-,2629.5,3886.5
VALUE,8,2643.0,3886.5
VALUE,"""",2659.5,3886.5
ELEVATION,LEVEL,2572.0,3934.0
ELEVATION,30,2648.0,3934.0
VALUE,315,2572.5,3974.0
VALUE,',2603.0,3974.0
VALUE,-,2613.0,3974.0
VALUE,10,2636.5,3974.0
VALUE,"""",2659.0,3973.0
ELEVATION,LEVEL,2572.0,4020.5
ELEVATION,29,2647.0,4020.5
VALUE,305,2592.0,4062.0
VALUE,',2623.0,4062.0
VALUE,-,2630.5,4062.0
VALUE,0,2645.5,4062.0
VALUE,"""",2660.5,4062.0
ELEVATION,LEVEL,2570.0,4107.0
ELEVATION,28,2647.0,4107.0
VALUE,294,2591.0,4149.0
VALUE,',2621.5,4148.5
VALUE,-,2629.5,4148.5
VALUE,2,2644.0,4148.5
VALUE,"""",2658.5,4148.5
ELEVATION,LEVEL,2572.0,4195.0
ELEVATION,27,2647.5,4195.0
VALUE,283,2590.5,4235.5
VALUE,',2621.5,4235.5
VALUE,-,2630.0,4235.5
VALUE,4,2642.0,4235.5
VALUE,"""",2658.5,4234.5
ELEVATION,LEVEL,2571.5,4282.5
ELEVATION,26,2647.0,4282.5
VALUE,272,2592.5,4323.5
VALUE,',2622.0,4323.5
VALUE,-,2630.5,4323.5
VALUE,6,2645.0,4323.5
VALUE,"""",2660.5,4323.5
ELEVATION,LEVEL,2571.5,4369.0
ELEVATION,25,2647.5,4369.0
VALUE,261,2589.5,4410.5
VALUE,',2621.5,4410.0
VALUE,-,2629.5,4410.0
VALUE,8,2643.5,4410.0
VALUE,"""",2659.5,4410.0
ELEVATION,LEVEL,2570.5,4456.0
ELEVATION,24,2645.0,4454.0
VALUE,250,2573.5,4498.0
VALUE,',2604.0,4497.5
VALUE,-,2612.0,4497.5
VALUE,10,2636.5,4497.5
VALUE,"""",2658.5,4497.5
ELEVATION,LEVEL,2572.0,4552.0
ELEVATION,23,2647.5,4552.0
VALUE,239,2591.5,4593.5
VALUE,',2622.5,4593.5
VALUE,-,2630.0,4593.5
VALUE,0,2644.0,4593.5
VALUE,"""",2659.5,4593.5
ELEVATION,LEVEL,2571.5,4639.0
ELEVATION,22,2648.0,4639.0
VALUE,228,2591.0,4681.0
VALUE,',2622.5,4681.0
VALUE,-,2630.5,4681.0
VALUE,2,2643.0,4681.0
VALUE,"""",2658.5,4681.0
ELEVATION,LEVEL,2572.0,4725.5
ELEVATION,21,2646.0,4725.5
VALUE,217,2591.0,4768.0
VALUE,',2621.5,4768.0
VALUE,-,2627.5,4768.0
VALUE,4,2641.0,4768.0
VALUE,"""",2659.0,4767.0
ELEVATION,LEVEL,2571.5,4813.5
ELEVATION,20,2648.0,4813.5
VALUE,206,2591.0,4855.0
VALUE,',2620.0,4855.0
VALUE,-,2629.5,4855.0
VALUE,6,2645.5,4855.0
VALUE,"""",2660.5,4855.0
ELEVATION,LEVEL,2571.0,4901.0
ELEVATION,19,2647.0,4900.0
VALUE,195,2593.0,4942.0
VALUE,',2622.0,4940.5
VALUE,-,2630.0,4940.5
VALUE,8,2643.5,4940.5
VALUE,"""",2658.5,4940.5
ELEVATION,LEVEL,2571.0,4987.5
ELEVATION,18,2647.0,4986.5
VALUE,184,2575.0,5030.0
VALUE,',2604.5,5030.0
VALUE,-,2614.0,5030.0
VALUE,10,2637.0,5030.0
VALUE,"""",2659.5,5030.0
ELEVATION,LEVEL,2572.0,5075.5
ELEVATION,17,2648.0,5075.0
VALUE,174,2593.0,5116.0
VALUE,',2621.0,5116.0
VALUE,-,2630.0,5114.0
VALUE,0,2643.5,5114.0
VALUE,"""",2658.5,5114.0
ELEVATION,LEVEL,2571.0,5161.5
ELEVATION,16,2648.0,5161.5
VALUE,163,2592.5,5204.0
VALUE,',2622.0,5204.0
VALUE,-,2630.0,5204.0
VALUE,2,2644.0,5204.0
VALUE,"""",2658.0,5204.0
ELEVATION,LEVEL,2571.5,5250.0
ELEVATION,15,2648.5,5250.0
VALUE,152,2591.5,5291.5
VALUE,',2621.0,5291.0
VALUE,-,2631.0,5291.0
VALUE,4,2643.5,5291.0
VALUE,"""",2659.5,5291.0
ELEVATION,LEVEL,2571.5,5337.0
ELEVATION,14,2648.5,5337.0
VALUE,141,2591.0,5379.0
VALUE,',2621.5,5379.0
VALUE,-,2629.5,5379.0
VALUE,6,2644.5,5379.0
VALUE,"""",2659.5,5379.0
ELEVATION,LEVEL,2572.0,5441.0
ELEVATION,12,2648.0,5441.5
VALUE,128,2593.0,5484.0
VALUE,',2623.0,5484.0
VALUE,-,2631.5,5484.0
VALUE,6,2645.5,5484.0
VALUE,"""",2660.5,5484.0
ELEVATION,LEVEL,2572.5,5554.0
ELEVATION,11,2646.5,5554.5
VALUE,114,2592.5,5596.0
VALUE,',2621.5,5595.5
VALUE,-,2628.5,5595.5
VALUE,6,2643.5,5595.5
VALUE,"""",2657.5,5595.5
ELEVATION,LEVEL,2571.5,5668.5
ELEVATION,10,2648.5,5668.5
VALUE,100,2594.0,5709.0
VALUE,',2623.0,5709.0
VALUE,-,2630.5,5709.0
VALUE,6,2643.5,5709.0
VALUE,"""",2659.0,5709.0
ELEVATION,LEVEL,2590.0,5748.0
ELEVATION,9,2656.0,5748.0
VALUE,90,2600.0,5788.5
VALUE,',2623.0,5788.5
VALUE,-,2631.0,5788.5
VALUE,6,2645.5,5788.5
VALUE,"""",2660.5,5788.5
ELEVATION,LEVEL,2588.5,5827.5
ELEVATION,8,2656.5,5827.5
VALUE,80,2602.0,5870.0
VALUE,',2623.0,5870.0
VALUE,-,2630.5,5870.0
VALUE,6,2644.0,5870.0
VALUE,"""",2662.0,5870.0
ELEVATION,LEVEL,2589.5,5909.0
ELEVATION,7,2655.5,5909.0
VALUE,70,2600.0,5950.5
VALUE,',2621.5,5950.5
VALUE,-,2629.5,5950.5
VALUE,6,2643.0,5950.5
VALUE,"""",2659.0,5949.5
ELEVATION,LEVEL,2589.5,5989.5
ELEVATION,6,2656.0,5989.5
VALUE,60,2600.5,6031.0
VALUE,',2620.5,6031.0
VALUE,-,2628.5,6031.0
VALUE,6,2645.5,6031.0
VALUE,"""",2660.0,6029.5
ELEVATION,LEVEL,2589.5,6069.0
ELEVATION,5,2657.0,6069.0
VALUE,50,2600.0,6111.0
VALUE,',2621.5,6110.5
VALUE,-,2630.0,6110.5
VALUE,6,2644.5,6110.5
VALUE,"""",2658.5,6109.0
ELEVATION,LEVEL,2589.5,6150.0
ELEVATION,4,2655.0,6150.0
VALUE,40,2601.0,6193.0
VALUE,',2623.0,6193.0
VALUE,-,2630.5,6193.0
VALUE,6,2644.0,6193.0
VALUE,"""",2661.0,6193.0
ELEVATION,LEVEL,2588.0,6230.5
ELEVATION,3,2656.0,6229.5
VALUE,30,2600.5,6272.5
VALUE,',2623.0,6272.5
VALUE,-,2630.5,6272.5
VALUE,6,2644.0,6272.5
VALUE,"""",2660.5,6272.5
ELEVATION,LEVEL,2590.0,6335.0
ELEVATION,2,2656.5,6335.0
VALUE,17,2600.5,6377.5
VALUE,',2621.0,6377.0
VALUE,-,2630.0,6377.0
VALUE,6,2644.0,6377.0
VALUE,"""",2659.0,6377.0
ELEVATION,LEVEL,2588.5,6476.0
ELEVATION,1,2655.0,6476.0
