text,label,box_xmin,box_ymin,box_xmax,box_ymax
EMR,ELEVATION,2461,138,2531,163
LEVEL,ELEVATION,2540,138,2638,163
2,ELEVATION,2648,138,2668,163
785,VALUE,2565,179,2617,205
',VALUE,2618,179,2625,204
-,VALUE,2625,179,2634,204
6,VALUE,2634,179,2653,204
"""",VALUE,2651,179,2665,204
EMR,ELEVATION,2461,253,2530,280
LEVEL,ELEVATION,2540,253,2638,280
1,ELEVATION,2648,253,2662,280
771,VALUE,2565,297,2616,323
',VALUE,2620,297,2626,323
-,VALUE,2626,297,2635,323
0,VALUE,2635,297,2653,323
"""",VALUE,2653,297,2668,323
ROOF,ELEVATION,2465,375,2556,402
LEVEL,ELEVATION,2566,375,2665,402
756,VALUE,2565,416,2618,444
',VALUE,2618,416,2626,442
-,VALUE,2625,416,2634,442
0,VALUE,2635,416,2653,442
"""",VALUE,2652,416,2666,442
LEVEL,ELEVATION,2522,485,2620,514
67,ELEVATION,2627,485,2664,514
742,VALUE,2566,529,2618,555
',VALUE,2618,529,2625,554
-,VALUE,2625,529,2634,554
0,VALUE,2635,529,2653,554
"""",VALUE,2653,529,2666,554
LEVEL,ELEVATION,2523,599,2621,628
66,ELEVATION,2629,601,2665,627
728,VALUE,2565,642,2617,668
',VALUE,2617,642,2623,668
-,VALUE,2623,642,2632,668
0,VALUE,2634,642,2652,668
"""",VALUE,2649,641,2665,667
LEVEL,ELEVATION,2522,712,2620,740
65,ELEVATION,2629,712,2664,740
714,VALUE,2566,756,2617,780
',VALUE,2620,756,2626,780
-,VALUE,2626,756,2635,780
0,VALUE,2635,756,2652,780
"""",VALUE,2653,756,2666,780
LEVEL,ELEVATION,2522,826,2621,854
64,ELEVATION,2630,826,2665,854
700,VALUE,2566,868,2620,894
',VALUE,2620,868,2626,894
-,VALUE,2626,868,2635,894
0,VALUE,2635,868,2655,894
"""",VALUE,2652,868,2668,894
LEVEL,ELEVATION,2522,938,2621,967
63,ELEVATION,2629,938,2666,967
686,VALUE,2566,981,2620,1007
',VALUE,2620,981,2626,1007
-,VALUE,2626,981,2635,1007
0,VALUE,2636,981,2655,1007
"""",VALUE,2653,981,2668,1007
LEVEL,ELEVATION,2523,1051,2621,1078
62,ELEVATION,2630,1051,2665,1078
672,VALUE,2565,1092,2617,1120
',VALUE,2617,1092,2625,1118
-,VALUE,2625,1092,2634,1118
0,VALUE,2634,1092,2652,1118
"""",VALUE,2652,1092,2666,1118
LEVEL,ELEVATION,2522,1165,2621,1191
61,ELEVATION,2629,1165,2664,1191
658,VALUE,2565,1207,2617,1233
',VALUE,2618,1207,2625,1231
-,VALUE,2625,1207,2634,1231
0,VALUE,2634,1207,2652,1231
"""",VALUE,2653,1207,2668,1231
LEVEL,ELEVATION,2522,1274,2622,1305
60,ELEVATION,2629,1275,2665,1304
644,VALUE,2565,1319,2620,1344
',VALUE,2618,1319,2626,1344
-,VALUE,2625,1319,2635,1344
0,VALUE,2634,1318,2652,1343
"""",VALUE,2651,1318,2666,1343
LEVEL,ELEVATION,2522,1364,2620,1390
59,ELEVATION,2630,1364,2665,1390
633,VALUE,2566,1405,2618,1432
',VALUE,2618,1405,2626,1432
-,VALUE,2626,1405,2638,1432
2,VALUE,2635,1405,2653,1432
"""",VALUE,2653,1405,2668,1432
LEVEL,ELEVATION,2522,1451,2620,1478
58,ELEVATION,2627,1451,2662,1476
622,VALUE,2566,1493,2618,1519
',VALUE,2620,1493,2627,1519
-,VALUE,2626,1493,2636,1519
4,VALUE,2634,1493,2653,1519
"""",VALUE,2653,1493,2666,1519
LEVEL,ELEVATION,2522,1539,2621,1567
57,ELEVATION,2629,1539,2665,1567
611,VALUE,2566,1580,2614,1606
',VALUE,2620,1580,2626,1606
-,VALUE,2627,1580,2636,1606
6,VALUE,2636,1580,2653,1606
"""",VALUE,2652,1580,2666,1606
LEVEL,ELEVATION,2523,1626,2621,1654
56,ELEVATION,2630,1626,2665,1654
600,VALUE,2565,1667,2617,1693
',VALUE,2618,1667,2625,1692
-,VALUE,2625,1667,2634,1692
8,VALUE,2635,1667,2653,1692
"""",VALUE,2653,1667,2668,1692
LEVEL,ELEVATION,2522,1711,2620,1740
55,ELEVATION,2627,1710,2664,1739
589,VALUE,2547,1754,2600,1783
',VALUE,2599,1753,2608,1781
-,VALUE,2605,1753,2617,1781
10,VALUE,2618,1753,2653,1780
"""",VALUE,2652,1752,2668,1780
LEVEL,ELEVATION,2522,1800,2621,1827
54,ELEVATION,2630,1800,2666,1827
579,VALUE,2566,1842,2616,1868
',VALUE,2620,1842,2626,1868
-,VALUE,2626,1842,2635,1868
0,VALUE,2636,1842,2653,1868
"""",VALUE,2655,1842,2668,1868
LEVEL,ELEVATION,2522,1888,2621,1915
53,ELEVATION,2630,1888,2666,1915
568,VALUE,2565,1929,2617,1957
',VALUE,2617,1929,2625,1955
-,VALUE,2625,1929,2635,1955
2,VALUE,2635,1929,2652,1955
"""",VALUE,2653,1929,2666,1955
LEVEL,ELEVATION,2522,1972,2620,2002
52,ELEVATION,2629,1972,2665,2001
557,VALUE,2565,2017,2617,2042
',VALUE,2620,2017,2627,2042
-,VALUE,2626,2017,2635,2042
4,VALUE,2632,2017,2652,2042
"""",VALUE,2653,2017,2666,2042
LEVEL,ELEVATION,2523,2059,2622,2089
51,ELEVATION,2630,2060,2661,2089
546,VALUE,2566,2103,2617,2130
',VALUE,2618,2103,2625,2129
-,VALUE,2625,2103,2634,2129
6,VALUE,2634,2103,2652,2129
"""",VALUE,2652,2103,2666,2129
LEVEL,ELEVATION,2522,2149,2621,2176
50,ELEVATION,2627,2149,2668,2176
535,VALUE,2565,2190,2617,2217
',VALUE,2618,2190,2626,2216
-,VALUE,2626,2190,2635,2216
8,VALUE,2634,2190,2651,2216
"""",VALUE,2652,2190,2665,2216
LEVEL,ELEVATION,2522,2237,2621,2264
49,ELEVATION,2629,2237,2665,2264
524,VALUE,2548,2280,2600,2304
"""",VALUE,2600,2280,2609,2304
-10,VALUE,2608,2280,2652,2304
"""",VALUE,2653,2280,2666,2304
LEVEL,ELEVATION,2522,2331,2620,2359
48,ELEVATION,2627,2331,2665,2359
513,VALUE,2565,2373,2617,2399
',VALUE,2618,2373,2625,2399
-,VALUE,2625,2373,2634,2399
0,VALUE,2634,2373,2652,2399
"""",VALUE,2652,2372,2666,2398
LEVEL,ELEVATION,2522,2418,2621,2446
47,ELEVATION,2627,2418,2665,2446
502,VALUE,2565,2460,2621,2488
',VALUE,2617,2460,2625,2488
-,VALUE,2623,2459,2634,2487
2,VALUE,2634,2459,2653,2487
"""",VALUE,2651,2459,2666,2487
LEVEL,ELEVATION,2522,2507,2621,2534
46,ELEVATION,2627,2507,2665,2534
491,VALUE,2564,2548,2617,2575
',VALUE,2620,2548,2626,2574
-,VALUE,2626,2548,2636,2574
4,VALUE,2634,2548,2653,2574
"""",VALUE,2653,2549,2666,2575
LEVEL,ELEVATION,2522,2594,2621,2621
45,ELEVATION,2627,2594,2666,2621
