Label,Text,X,Y
ELEVATION,EMR LEVEL 2,2564.5,150.5
VALUE,"785 ' - 6 """,2615.0,192.0
ELEVATION,EMR LEVEL 1,2561.5,266.5
VALUE,"771 ' - 0 """,2616.5,310.0
ELEVATION,ROOF LEVEL,2565.0,388.5
VALUE,"756 ' - 0 """,2615.5,430.0
ELEVATION,LEVEL 67,2593.0,499.5
VALUE,"742 ' - 0 """,2616.0,542.0
ELEVATION,LEVEL 66,2594.0,613.5
VALUE,"728 ' - 0 """,2615.0,654.5
ELEVATION,LEVEL 65,2593.0,726.0
VALUE,"714 ' - 0 """,2616.0,768.0
ELEVATION,LEVEL 64,2593.5,840.0
VALUE,"700 ' - 0 """,2617.0,881.0
ELEVATION,LEVEL 63,2594.0,952.5
VALUE,"686 ' - 0 """,2617.0,994.0
ELEVATION,LEVEL 62,2594.0,1064.5
VALUE,"672 ' - 0 """,2615.5,1106.0
ELEVATION,LEVEL 61,2593.0,1178.0
VALUE,"658 ' - 0 """,2616.5,1220.0
ELEVATION,LEVEL 60,2593.5,1289.5
VALUE,"644 ' - 0 """,2615.5,1331.0
ELEVATION,LEVEL 59,2593.5,1377.0
VALUE,"633 ' - 2 """,2617.0,1418.5
ELEVATION,LEVEL 58,2592.0,1464.5
VALUE,"622 ' - 4 """,2616.0,1506.0
ELEVATION,LEVEL 57,2593.5,1553.0
VALUE,"611 ' - 6 """,2616.0,1593.0
ELEVATION,LEVEL 56,2594.0,1640.0
VALUE,"600 ' - 8 """,2616.5,1680.0
ELEVATION,LEVEL 55,2593.0,1725.0
VALUE,"589 ' - 10 """,2607.5,1767.5
ELEVATION,LEVEL 54,2594.0,1813.5
VALUE,"579 ' - 0 """,2617.0,1855.0
ELEVATION,LEVEL 53,2594.0,1901.5
VALUE,"568 ' - 2 """,2615.5,1943.0
ELEVATION,LEVEL 52,2593.5,1987.0
VALUE,"557 ' - 4 """,2615.5,2029.5
ELEVATION,LEVEL 51,2592.0,2074.0
VALUE,"546 ' - 6 """,2616.0,2116.5
ELEVATION,LEVEL 50,2595.0,2162.5
VALUE,"535 ' - 8 """,2615.0,2203.5
ELEVATION,LEVEL 49,2593.5,2250.5
VALUE,"524 "" -10 """,2607.0,2292.0
ELEVATION,LEVEL 48,2593.5,2345.0
VALUE,"513 ' - 0 """,2615.5,2385.5
ELEVATION,LEVEL 47,2593.5,2432.0
VALUE,"502 ' - 2 """,2615.5,2473.5
ELEVATION,LEVEL 46,2593.5,2520.5
VALUE,"491 ' - 4 """,2615.0,2561.5
ELEVATION,LEVEL 45,2594.0,2607.5
VALUE,"480 ' - 6 """,2614.5,2647.5
ELEVATION,LEVEL 44,2594.0,2693.0
VALUE,"469 ' - 8 """,2616.0,2735.5
ELEVATION,LEVEL 43,2594.0,2781.5
VALUE,"458 ' - 10 """,2606.0,2823.5
ELEVATION,LEVEL 42,2593.5,2868.0
VALUE,"448 ' - 0 """,2614.5,2909.5
ELEVATION,LEVEL 41,2592.0,2956.5
VALUE,"437 ' - 2 """,2615.5,2998.0
ELEVATION,LEVEL 40,2593.5,3042.5
VALUE,"426 ' - 4 """,2616.0,3084.0
ELEVATION,LEVEL 39,2593.5,3129.5
VALUE,"415 ' - 6 """,2615.0,3172.0
ELEVATION,LEVEL 38,2593.5,3218.0
VALUE,"404 ' - 8 """,2615.0,3258.5
ELEVATION,LEVEL 37,2593.0,3304.5
VALUE,"393 ' - 10 """,2606.5,3346.0
ELEVATION,LEVEL 36,2594.0,3410.5
VALUE,"380 ' - 10 """,2606.0,3450.0
ELEVATION,LEVEL 35,2593.5,3497.0
VALUE,"370 ' - 0 """,2615.5,3537.5
ELEVATION,LEVEL 34,2593.5,3582.5
VALUE,"359 ' - 2 """,2616.0,3625.5
ELEVATION,LEVEL 33,2594.0,3671.5
VALUE,"348 ' - 4 """,2615.0,3712.5
ELEVATION,LEVEL 32,2595.5,3757.5
VALUE,"337 ' - 6 """,2615.0,3799.5
ELEVATION,LEVEL 31,2591.0,3844.5
VALUE,"326 ' - 8 """,2616.0,3887.0
ELEVATION,LEVEL 30,2594.0,3934.0
VALUE,"315 ' - 10 """,2606.5,3973.5
ELEVATION,LEVEL 29,2593.5,4020.5
VALUE,"305 ' - 0 """,2617.0,4062.0
ELEVATION,LEVEL 28,2593.5,4107.0
VALUE,"294 ' - 2 """,2615.0,4149.0
ELEVATION,LEVEL 27,2594.0,4195.0
VALUE,"283 ' - 4 """,2615.0,4235.0
ELEVATION,LEVEL 26,2593.5,4282.5
VALUE,"272 ' - 6 """,2616.5,4323.5
ELEVATION,LEVEL 25,2593.5,4369.0
VALUE,"261 ' - 8 """,2615.5,4410.5
ELEVATION,LEVEL 24,2592.5,4455.5
VALUE,"250 ' - 10 """,2606.0,4498.0
ELEVATION,LEVEL 23,2594.0,4552.0
VALUE,"239 ' - 0 """,2615.5,4593.5
ELEVATION,LEVEL 22,2594.0,4639.0
VALUE,"228 ' - 2 """,2615.0,4681.0
ELEVATION,LEVEL 21,2592.5,4725.5
VALUE,"217 ' - 4 """,2615.5,4767.5
ELEVATION,LEVEL 20,2594.0,4813.5
VALUE,"206 ' - 6 """,2616.5,4855.0
