text,label,box_xmin,box_ymin,box_xmax,box_ymax
3L,Ties,3616,2094,3690,2146
-,Ties,3696,2094,3717,2146
2S,Ties,3718,2094,3799,2146
6,Verticalbars,3612,2226,3639,2266
BARS,Verticalbars,3658,2226,3798,2266
1,Ties,3616,2292,3633,2337
TIE,Ties,3658,2292,3736,2338
1,Ties,3613,2362,3636,2404
CROSS,Ties,3657,2362,3846,2404
TIE,Ties,3865,2362,3943,2404
4L,Detail,4548,2091,4627,2143
-,Detail,4636,2091,4659,2143
2S,Detail,4657,2091,4740,2143
8,Verticalbars,4549,2241,4578,2281
BARS,Verticalbars,4596,2241,4738,2281
1,Ties,4554,2308,4570,2352
TIE,Ties,4594,2308,4675,2352
2,Ties,4548,2377,4579,2419
CROSS,Ties,4594,2377,4783,2419
TIES,Ties,4803,2377,4920,2419
12,Verticalbars,5359,2209,5413,2251
BARS,Verticalbars,5431,2208,5574,2253
1,Ties,5358,2280,5380,2320
TIE,Ties,5400,2278,5481,2317
4,Ties,5352,2346,5383,2389
CROSS,Ties,5403,2346,5590,2389
TIES,Ties,5610,2346,5727,2389
16,Verticalbars,6210,2181,6262,2221
BARS,Verticalbars,6282,2181,6424,2221
1,Ties,6208,2250,6231,2292
TIE,Ties,6252,2250,6331,2292
6,Ties,6207,2317,6235,2361
CROSS,Ties,6252,2317,6439,2361
TIES,Ties,6459,2317,6576,2361
18,Verticalbars,7186,2181,7239,2221
BARS,Verticalbars,7260,2181,7402,2221
12,Verticalbars,3664,3714,3720,3753
BARS,Verticalbars,3739,3714,3880,3753
1,Ties,3666,3781,3684,3825
TIE,Ties,3709,3781,3787,3825
4,Ties,3658,3849,3690,3892
CROSS,Ties,3708,3849,3897,3892
TIES,Ties,3916,3849,4033,3892
(,Verticalbars,3664,3918,3679,3970
SQUARE,Verticalbars,3682,3918,3904,3970
COLUMN,Ties,3925,3918,4155,3970
),Ties,4161,3918,4179,3970
