Mark,Level,SIZE,VERTICAL,TIES 1,TIES 2,TIES 3,TYPE,PSI,LAP,COUPLER,DOWELS
1,LEVEL 01,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,
10,LEVEL 01,8 x 36,6 - #7,"#3 @ 6""","#3 @ 8""","#3 @ 6""",6R,,,,
11,LEVEL 01,8 x 36,6 - #7,"#3 @ 6""","#3 @ 8""","#3 @ 6""",6R,,,,
12,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
13,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
14,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
15,LEVEL 01,24 x 36,16 - #11,"#4 @ 6""","#4 @ 12""","#4 @ 6""",16R,,,,
16,LEVEL 01,14 x 24,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
17,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
18,LEVEL 01,14 x 24,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
19,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
2,LEVEL 01,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
20,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
21,LEVEL 01,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
22,LEVEL 01,24 x 36,18 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",18R,,,,
23,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
24,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
25,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
26,LEVEL 01,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
26,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
26,LEVEL 03,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 04,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 05,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 06,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 07,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 08,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 09,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 10,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 11,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
26,LEVEL 12,"30"" dia",10 - #8,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
27,LEVEL 01,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
27,LEVEL 02,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 03,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 04,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 05,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 06,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 07,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 08,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 09,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 10,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 11,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
27,LEVEL 12,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,
28,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
29,LEVEL 01,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
29,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
